term_id,topterm_id,term_name,term_kind,term_ch,term_remark,term_year,term_times,term_lk,term_desc
5656,8,수민원,2,綏民院,,1902,대한제국기,정치·행정·법제>행정>중앙행정기구,1902년 외국여행권을 관장하기 위하여 설치되었던 궁내부 산하 관청.
5657,8,수복,2,守僕,,1438-1909,조선시대,정치·행정·법제>인사,조선시대 단(壇)·묘(廟)·원(園)·능침(陵寢)·전(殿)에서 청소하는 일을 맡은 사람.
5658,8,수본,2,手本,,?-?,조선시대,정치·행정·법제>행정>행정제도,조선시대 문서양식의 하나로 하관(下官)이 공사(公事)에 관하여 상사(上司) 또는 관계 관서에 보고하는 문서.
5659,8,수봉관,2,守奉官,,?-?,조선시대,정치·행정·법제>인사,조선시대 원(園)을 지키던 종9품 관직.
5660,199,수부전,2,水夫田,,?-?,조선시대,경제·산업>농업>토지제도,조선시대 한강과 예성강을 이용하는 수운(水運)을 통하여 조세곡을 서울로 운반하던 수부들에게 지급한 토지.
5662,199,수산제,2,守山堤,,?-?,고대-근세,경제·산업>농업>농업시설,경상남도 밀양에 있었던 관개용 저수지 둑.
5663,8,수서원,2,修書院,,990-1391,고려시대,정치·행정·법제>행정>지방행정기구,고려시대 서경(西京)에 설치한 도서관.
8825,333,행재소,2,行在所,,?-?,삼국시대-조선시대,사회·생활>일상생활>주생활,조선시대 왕이 궁궐을 떠나 멀리 거둥할 때 임시로 머무르는 별궁(別宮).
8827,333,향도,2,香徒,,?-?,통시대,사회·생활>사회단체>자치조직·단체,"전통사회 불교신앙공동체, 혹은 향촌공동체적 성격의 조직체."
8828,518,향도,2,香徒,,?-?,통시대,전통사상·종교>종교기관·단체,"전통사회 불교신앙공동체, 혹은 향촌공동체적 성격의 조직체."
8829,333,향안,2,鄕案,,?-?,조선시대,사회·생활>사회단체>자치조직·단체,조선시대 지방자치기구인 유향소(留鄕所)를 운영한 향중사류(鄕中士類)들의 명부.
8830,333,향약계,2,鄕約契,,?-?,조선시대,사회·생활>사회단체>자치조직·단체,조선시대 향약과 우리 나라 전래의 계회(契會)조직이 결합된 계.
8831,333,향회,2,鄕會,,?-?,조선시대,사회·생활>사회단체>자치조직·단체,조선시대 지방에 거주하는 사족(士族)이 중심이 되어 운영한 지방자치회의.
8832,1,험측,2,險側,,?-?,,역사일반>왕호,진한과 변한의 정치적 지배자의 호칭.
8833,86,헤이그특사사건,2,Hague特使事件,,1907,근대,외교·국제관계>외교기관·사절,고종이 이준(李儁) 등을 통해 을사조약(乙巳條約) 체결의 부당성을 폭로하고 이를 파기하려 꾀한 일.
8834,407,형평사,2,衡平社,,1923-1936,일제시기,사회운동·독립운동>천민운동·항쟁,1923년 4월 경상남도 진주에서 백정(白丁)에 대한 신분차별철폐를 목적으로 조직된 사회운동단체.
8835,333,혼전,2,魂殿,,?-?,고려시대-조선시대,사회·생활>풍속·의례>국가의례,임금이나 왕비의 국상 중 장사를 마친 후 종묘(宗廟)에 입향할 때까지 신위를 모시는 곳.
8836,8,화사,2,畵史,,?-?,조선시대,정치·행정·법제>인사,조선시대 도화서(圖畵署)에 소속된 종8품 잡직.
8838,283,화폐정리사업,2,貨幣整理事業,,1904-1910,대한제국기,재정·금융>화폐·금융>금융정책·제도,1904년부터 시작된 구화폐의 정리 사업.
8839,283,환모,2,還耗,,?-?,조선시대,재정·금융>재정>조세제도,조선시대 환곡(還穀)을 받아들일 때 쥐와 새에 의해 손실된 양(量)을 고려하여 원곡(原穀)의 매 섬마다 1할을 더하여 받던 일.
8840,518,황사영백서,2,黃嗣永帛書,,1801,조선후기,전통사상·종교>천주교(서학)>천주교관련사건·행사,신유박해 때 가톨릭교도인 황사영이 조선 교회의 참상과 그 대책을 베이징의 A.구베아 주교에게 알리고자 한 밀서.
8841,8,황태자비궁,2,皇太子妃宮,,1897-1910,대한제국기,정치·행정·법제>행정>중앙행정기구,대한제국기 궁내부(宮內府)소속으로 황태자비의 궁사를 관장하던 관청.
8843,333,한량,2,閑良,,1170-?,고려후기-조선시대,사회·생활>신분·계급,고려 후기와 조선시대 양인 이상의 특수신분층의 하나.
8845,8,한림원,2,翰林院,,?-?,고려시대,정치·행정·법제>행정>중앙행정기구,고려시대 사명(詞命)의 제찬(制撰)을 관장하던 관청.
8846,199,한전론,2,限田論,,?-?,조선후기,경제·산업>경제사상·정책,조선후기 실학자들이 주장한 개인의 토지 사유를 일정하게 제한하여 토지 겸병을 억제하고 균산(均産)을 유도하려는 전제개혁론(田制改革論).
8848,310,함경선,2,咸鏡線, ,1914-?,근대-현대,교통·통신>교통로,함경남도 원산에서 함경북도 종성군 상삼봉(上三峰)에 이르는 철도.
8849,8,행영병마사,2,行營兵馬使,,1047-?,고려시대,정치·행정·법제>인사,고려시대 국경에 변란이 일어났을 때 중앙의 문무재신(文武宰臣) 가운데서 선임하여 병마권을 부여한 전시(戰時) 관직.
8850,439,향악,2,鄕樂,,?-?,통시대,문화·예술>음악,"삼국시대 이후 조선시대까지 궁중음식에서 연주된 전통음악의 한 갈래로, 당악(唐樂) 등의 외래음악과 대응되는 우리나라의 고유음악."
8851,8,현량과,2,賢良科,,1518-1519,조선전기,정치·행정·법제>인사,조선 중종 때 조광조(趙光祖)의 건의에 따라 실시한 관리 등용 제도.
8852,8,현주,2,縣主,,?-?,조선시대,정치·행정·법제>인사,조선시대 왕세자의 서녀(庶女)에게 봉작한 품계.
8853,199,혈주,2,穴主,,?-?,조선후기,경제·산업>광공업>광업,조선후기 광산의 경영주(經營主).
8854,8,협률랑,2,協律郞,,?-?,고려시대-조선시대,정치·행정·법제>인사,고려-조선시대에 제향(祭享)이나 가례(嘉禮) 의식에서 음악의 진행을 맡은 관리.
8855,662,혜왕,2,惠王,,?-599,삼국시대,인명,백제 제28대 왕. 재위 598-599년. 제27대 위덕왕(威德王)의 동생.
8856,283,호수,2,戶首, ,?-?,조선시대,재정·금융>재정>재정정책·법령,조선시대 호적상의 호주(戶主)나 보인(保人)으로부터 보포(保布)를 징수하는 정군(正軍)을 지칭.
8857,8,홍범14조,2,洪範十四條,,1894,개항기,정치·행정·법제>정치사상·정책,1894년 제2차 갑오개혁 때 추진된 개혁의 기본 방향을 제시한 14개 조항의 국가 기본법.
8858,49,홍신기,2,紅神旗, ,?-?,조선시대,국방·군사>군수품>표신,조선시대 군대에서 사용한 중5방기(中五方旗)의 하나.
8859,8,홍전,2,紅典,,?-?,고대,정치·행정·법제>행정>중앙행정기구,신라시대 내성(內省)에 소속되어 직물관계 생산 또는 염색을 담당하였을 것으로 추측되는 관청.
8860,518,화엄종,2,華嚴宗,,?-?,통시대,전통사상·종교>불교>불교종파·용어,화엄사상을 천명한 불교 종파. 신라의 고승 의상(義湘)이 우리 나라의 개조(開祖).
8861,664,명심보감,2,明心寶鑑,,?,고려후기,서명,"고려후기 추적(秋適)이 여러 서적의 금언과 명구를 모아 만든 책으로, 서당에서 어린이들의 인격 수양을 위한 교재로 쓰임."
8862,439,밑도드리,2,밑도드리,,?-?,통시대,문화·예술>음악,고려시대에 송나라에서 들어온 보허자(步虛子) 환입(還入) 가락 이하를 변주한 곡.
8863,199,회사령,2,會社令, ,1910-1920,일제시기,경제·산업>경제법령·조치,1910년 12월 조선 총독부가 한국의 민족 자본과 공업 발전을 억압하기 위해 공포한 법령.
8864,199,휴한농법,2,休閑農法,,?-?,통시대,경제·산업>농업>농업기술,지력(地力)의 감퇴를 막기 위하여 몇 년에 1번씩 작물을 심지 않고 토지를 휴한하는 농사법.
8865,333,흑창,2,黑倉,,?-986,고려전기,사회·생활>보건·복지>구휼,고려 태조 때 설치된 빈민구제기관.
8866,665,흥보가,2,興甫歌,,?,근세-현대,문화재,조선후기 판소리 12마당의 하나. 마음씨 착한 동생과 심술 사나운 형의 이야기를 통해 권선징악을 담고 있음.
8867,8,한림학사,2,翰林學士,,?-?,고려시대,정치·행정·법제>인사,고려시대 학사원(學士院)과 한림원(翰林院)에 소속된 정4품 관직.
8868,199,한인전,2,閑人田,,?-?,고려시대,경제·산업>농업>토지제도,고려시대 한인(閑人)에게 지급한 토지.
4200566,631,오계서원,2,汚溪書院,,1665,조선후기,교육>전근대교육기관,1665년(현종 6)에 건립하여 이덕홍(李德弘)을 배향한 서원. 경상북도 영주시 평은면 천본리에 위치.
4200571,199,금곡포창,2,金谷浦倉,,?-1713,조선시대,경제·산업>상업·유통·서비스업>창고·보관,조선시대 황해도 연백군 금곡포에 설치된 조창(漕倉).
4200574,439,금강성,2,金剛城,,?,고려시대,문화·예술>음악,작자·연대 미상의 고려 향악(高麗鄕樂)의 한 곡명.
4200576,665,남장사관음선원목각탱,2,南長寺觀音禪院木刻[탱G002],,1694,조선후기,문화재,1694년(숙종 20)에 나무에 부조(浮彫)로 새겨 후불탱화(後佛幀怜)의 기능을 한 목각후불탱화. 경상북도 상주시 남장동 남장사(南長寺) 소재.
4200578,665,남장사보광전목각탱,2,南長寺普光殿木刻[탱002],,1694,조선후기,문화재,조선후기 비로자나불을 모시는 전각에 위치한 목각탱. 경상북도 상주시 남장동 남장사(南長寺) 소재.
4200582,333,기곡대제,2,祈穀大祭,,?-?,통시대,사회·생활>풍속·의례>국가의례,나라에서 풍년이 들기를 기원하던 제사.
4200589,665,기사계첩,2,耆社契帖,,1720,조선후기,문화재,"1720년(숙종 46) 그 전해에 베풀어진 70세 이상의 노신들을 우대하는 기로회(耆老會)의 모임장면과 그들의 초상 등으로 꾸민 화첩. 비단바탕에 채색. 가로 76㎝, 세로 59.5㎝ 크기."
4200591,439,기산풍속도첩,2,箕山風俗圖帖,,?,조선후기,문화·예술>미술,"19세기 후반의 풍속화가 김준근(金俊根)의 풍속화첩. 총 79점. 세로 18cm, 가로 25.5cm. 독일 함부르크민족학박물관 소장. 놀이·경직·공예·기생·형벌·신앙·식생활·주생활·의례 등 각종 풍속 장면이 포함되어 있음."
4200604,439,금루사,2,金縷辭,,1778,조선후기,문화·예술>문학,1772년(정조 21)에 만들어진 것으로 보이는 제주기생 애월(愛月)과의 사랑을 노래한 민우룡(閔雨龍)의 연장가사(戀章歌辭).
4200606,665,근수루,2,近水樓,,1658,조선후기,문화재,"1658년(효종 9) 보성 오씨, 남원 양씨, 전주 박씨가 자녀교육을 위하여 세운 누각. 전라북도 장수군 계남면 궁양리 궁평마을에 있음."
4200608,665,금강산가,2,金剛山歌,,?,조선시대,문화재,조선시대 금강산을 예찬한 노래.
4200612,439,금보가,2,琴譜歌,,?-?,조선후기,문화·예술>문학,조선후기 퇴계(退溪) 이황(李滉)이 지은 가사.
4200619,631,금오서원,2,金烏書院,,1567,조선전기,교육>전근대교육기관,1567년(명종 22)에 건립하여 길재(吉再)을 배향한 사액서원. 경상북도 구미시 선산읍(善山邑) 원리(院里)에 위치.
4200622,333,금옥계,2,金玉契,,1780,조선후기,사회·생활>사회단체>자치조직·단체,1780년 강원도 강릉시 옥계면 산계리에서 마을 공납 문제를 해결위해 고진창·우광택·전삼박 14명이 만든 계.
4200624,631,금호서원,2,琴湖書院,,1655,조선후기,교육>전근대교육기관,1655년(효종 6) 건립하여 이운룡(李雲龍)을 배향한 서원. 경상북도 청도군 이서면 흥선리에 위치.
4200626,631,금화서원,2,金華書院,,1815,조선후기,교육>전근대교육기관,1815년(순조 15) 건립하여 최운(崔澐)·성운(成運)·조식(曺植)·성제원(成悌元)·최흥림(崔興霖)을 배향한 서원. 충청북도 보은군 삼승면 선곡리에 위치.
4200632,665,삼가기양루,2,三嘉岐陽樓,,?,조선시대,문화재,창건 연대 미상의 누각. 경상남도 합천군 삼가면 금리에 있음.
4200635,665,기차놀이,2,기차놀이,,?,통시대,문화재,끝을 이은 새끼줄 속에 들어가거나 여럿이 적당한 간격으로 한 줄로 서서 앞사람의 어깨 또는 허리를 잡기도 하여 기차의 흉내를 내는 놀이.
4200640,8,기축봉사,2,己丑封事,,1649,조선후기,정치·행정·법제>행정>행정제도,1649년(효종 즉위) 기축년에 정치적 소신을 올린 상소문.
4200645,439,금오계첩,2,金吾契帖,,1742,조선후기,문화·예술>미술,1742년(영조 18) 정선(鄭敾)이 그린 시화첩(詩畵帖). 의금부 관헌들의 계회 장면과 참석자들의 시문(詩文)을 모은 것.
4200647,333,글월비자,2,글월婢子,,?-?,조선시대,사회·생활>신분·계급,조선시대 궁중 색장나인(色掌內人) 밑에서 심부름을 하거나 문안편지를 돌리는 바깥일을 하는 사람.
4200649,664,금가,2,琴歌,,?,조선후기,서명,조선 고종 때로 추정되는 저자 미상의 거문고 악보. 1책으로 서첩(書帖)처럼 제책되어 있음.
4200651,439,금당별곡,2,金塘別曲,,?-?,조선후기,문화·예술>문학,17세기 말 위세직(魏世稷)이 지은 기행가사.
4200653,439,금릉별곡,2,金陵別曲,,1832,조선후기,문화·예술>문학,1832년(순조 32)에 문도갑(文道甲)이 지은 가사.
4200662,439,규중행실가,2,閨中行實歌,,?-?,조선시대,문화·예술>문학,조선시대 규방가사(閨房歌辭)의 하나. 영남 인동(仁同)지방에서 시집살이하고 있는 딸을 훈계하는 노래.
4200664,439,규문전회록,2,閨門傳懷錄,,?,조선후기,문화·예술>문학,조선후기 시집가는 딸에게 시집살이의 규범을 가르치기 위하여 지은 계녀가사(誡女歌辭) 하나.
4200666,439,규수상사곡,2,閨秀相思曲,,?,조선시대,문화·예술>문학,조선시대 국한문 혼용의 가사. 작자·연대 미상. 남녀간의 연정을 노래한 작품.
4200670,439,귀시도,2,歸市圖,,?-?,조선후기,문화·예술>미술,조선후기 김득신(金得臣)이 시장을 보고 마을로 돌아가는 사람들 모습을 그린 그림.
4200678,439,금강중용도가,2,金剛中庸圖歌,,1802,조선후기,문화·예술>문학,1802년(순조 2)에 김이익(金履翼)이 귀양 가서 지은 유배가사.
4200684,439,금마별가,2,金馬別歌,,1760,조선후기,문화·예술>문학,1760년(영조 36) 신광수(申光洙)가 지은 악부시.
4200693,439,기우도강도,2,騎牛渡江圖,,?,조선후기,문화·예술>미술,조선후기의 화가 단원(檀園) 김홍도(金弘道)가 그린 풍속화 첩자(帖子).
4200696,333,구족반,2,狗足盤,,?-?,통시대,사회·생활>일상생활>생활용품,상이 12각 원형판의 크고 작은 상에 붙인 다리의 모양이 개 발끝과 같다고 하여 붙인 이름.
4200703,333,구봉침,2,九鳳枕,,?-?,통시대,사회·생활>일상생활>생활용품,봉을 아홉 마리 수놓았기 때문에 붙여진 이름인데 봉은 부부의(夫婦義) 좋고 부귀다남(富貴多男)을 염원으로 첫날밤에 베는 베개.
4200705,439,광원루,2,廣遠樓,,?,고려시대,문화·예술>미술,고려시대 황해도 황주목의 객사 동쪽에 있던 누정.
6295108,439,서향각,2,書香閣,,?-?,조선시대,문화·예술>미술,조선시대 규장각(奎章閣)에 딸린 서고(書庫)의 하나. 창덕궁 북원(北苑)의 주합루(宙合樓) 서쪽에 위치. 매년 정월·4월·7월·10월 보름에 각신(閣臣)들이 어진(御眞)·어제(御製)·어필(御筆)을 옮겨와 포쇄하던 곳.
6295113,8,친잠의궤,2,親蠶儀軌,,1767,조선후기,정치·행정·법제>행정>행정제도,1767년(영조 43)에 친잠(親蠶) 의식을 거행하는 절차와 범절을 기록한 책.
6295117,8,친경의궤,2,親耕儀軌,,1767,조선후기,정치·행정·법제>행정>행정제도,1767년(영조 43) 2월 친경과 더불어 장종(藏種:누에를 갈무리 하는 것)·수견(受繭:고치따기)을 행한 기록을 예조에서 엮은 책.
6295121,8,장종수견의궤,2,藏種受繭儀軌,,1769,조선후기,정치·행정·법제>행정>행정제도,"1767년(영조 43)에 영조계비(英祖繼妃) 정순왕후(貞純王后)가 장종(藏種 : 누에를 갈무리하는 것), 수견(受繭 : 고치따기)하는 의식의 과정을 기록한 책."
6295126,8,녹훈도감의궤,2,錄勳都監儀軌,,?-?,조선후기,정치·행정·법제>행정>행정제도,1644년(인조 22) 심기원(沈器遠) 등의 모반사건을 고발해 평정하는 데 공이 큰 황헌(黃零)·이원로(李元老) 등 10인에게 녹훈(錄勳)한 내역과 1646년 호서지방의 유탁(柳濯)·권대용(權大用) 등의 모반사건을 상변(上變)한 이석룡(李碩龍)을 녹훈한 내역의 합록(合錄)한 책.
6295131,8,소무영사녹훈도감의궤,2,昭武寧社錄勳都監儀軌,,?-?,조선후기,정치·행정·법제>행정>행정제도,"1627년(인조 5) 이인거(李仁居)가 일으켰던 역모사건을 적발해 이를 평정한 홍보(洪寶) 등 6인에게 녹훈한 내역과, 이듬해 유효립(柳孝立)·정심(鄭沁) 등의 모반사건을 진압한 공신 11인에게 녹훈한 내역의 기록."
6295135,8,분무녹훈도감의궤,2,奮武錄勳都監儀軌,,?-?,조선후기,정치·행정·법제>행정>행정제도,1728년(영조 4) 이인좌(李麟佐)의 난을 평정한 오명항(吳命恒) 등 15인의 공신에게 녹훈한 기록.
6295143,8,소현세자묘소도감의궤,2,昭顯世子墓所都監儀軌,,1645,조선후기,정치·행정·법제>행정>행정제도,1645년(인조 23)에 소현세자(昭顯世子)의 묘소를 조성한 내용에 대해 기록한 책.
6295146,8,민회빈봉묘도감의궤,2,愍懷嬪封墓都監儀軌,,1718,조선후기,정치·행정·법제>행정>행정제도,1718년(숙종 44) 소현세자(昭顯世子)의 빈(嬪)인 민회빈 강씨(愍懷嬪姜氏)의 묘소를 조성한 내용에 대해 기록한 책.
6295148,8,효장세자묘소도감의궤,2,孝章世子墓所都監儀軌,,1729,조선후기,정치·행정·법제>행정>행정제도,1729년(영조 5) 효장세자(孝章世子)의 묘소를 조성한 내용에 대해 기록한 책. 1책. 필사본.
6295151,8,효순현빈묘소도감의궤,2,孝純賢嬪墓所都監儀軌,,1751,조선후기,정치·행정·법제>행정>행정제도,조선 진종(眞宗: 追尊王孝章世子)의 비(妃)인 효순왕후(孝純王侯)의 묘소를 조성한 내용에 대해 기록한 책. 1751년 편집.
6295155,8,장조영우원묘소도감의궤,2,莊祖永祐園墓所都監儀軌,,1762,조선후기,정치·행정·법제>행정>행정제도,1762년(영조 38) 장조(莊祖)의 묘소를 조성한 내용에 대해 기록한 책.
6295158,8,묘소도감의궤,2,墓所都監儀軌,,?-?,조선시대,정치·행정·법제>행정>행정제도,조선시대 왕세자 또는 세자빈의 묘소를 조성한 내용에 관해 기록한 책.
6295170,8,문효세자묘소도감의궤,2,文孝世子墓所都監儀軌,,1786,조선후기,정치·행정·법제>행정>행정제도,1786년(정조 10) 정조의 맏아들 문효세자(文孝世子)의 묘소를 조성한 내용에 대해 기록한 책.
6295172,8,익종연경묘묘소도감의궤,2,翼宗延慶墓墓所都監儀軌,,1830,조선후기,정치·행정·법제>행정>행정제도,1830년(순조 30)에 익종(翼宗)의 연경묘(延慶墓) 조성에 관해 기록한 책.
8390213,439,김해오광대,2,金海五廣大,,?-?,조선후기,문화·예술>종합예술,조선후기 경상남도 김해시 가락면에서 음력 정월대보름 밤에 연희되던 탈놀음.
8390217,518,초감제,2,初監祭,,?-?,통시대,전통사상·종교>무교·민간신앙,제주도 지방의 굿에서 모든 신들을 청하여 모시는 제사 절차.
8390220,518,청절사,2,淸節祠,,1700,조선후기,전통사상·종교>유교>유교관련시설,1700년(숙종 26) 건립한 사우로 조선초의 문신 정수충(鄭守忠)을 배향. 충청북도 영동군 학산면 지내리에 위치.
8390223,333,제역촌,2,除役村,,?-?,조선시대,사회·생활>마을·촌락,"조선시대 연호잡역(烟戶雜役), 즉 매 민가마다 부과하던 잡역을 면제받던 마을."
8390226,333,육례,2,六禮,,?-?,조선시대,사회·생활>풍속·의례>가정의례,조선시대 행하던 혼인절차의 여섯가지 의식(儀式).
8390230,333,문명,2,問名,,?-?,조선시대,사회·생활>풍속·의례>가정의례,"조선시대 육례의 하나. 납채와 동시에 이루어지는 것으로, 신부 어머니의 성씨를 묻는 절차."
8390233,333,납길,2,納吉,,?-?,통시대,사회·생활>풍속·의례>가정의례,육례의 하나. 가묘(家廟)에서 점을 쳐서 길조(吉兆)를 얻고 여자집에 알리는 의식.
8390240,333,청기,2,請期,,?-?,통시대,사회·생활>풍속·의례>가정의례,육례의 하나. 정혼을 한 뒤에 혼일을 가려서 보내는 절차.
8390244,631,운계서원,2,雲溪書院,상주,1711,조선후기,교육>전근대교육기관,"1711년(숙종 37) 건립하여 성람(成覽), 신석번(申碩蕃), 조진(趙振), 신석형(申碩亨), 김삼락(金三樂) 등을 배향한 서원. 경상북도 상주시 화서면 달천리에 위치."
8390247,631,운계서원,2,雲溪書院,양평,1594,조선후기,교육>전근대교육기관,"1594년(선조 27) 건립하여 조욱(趙昱), 조성(趙晟)을 배향한 서원. 경기도 양평군 용문면 덕촌리에 위치."
8390251,631,운계서원,2,雲溪書院,영덕,1824-1868,조선후기,교육>전근대교육기관,"1824년(순조 24) 건립하여 박제상(朴堤上), 박세통(朴世通), 박응천(朴應天)을 배향한 서원. 경상북도 영덕군 병곡면 영동리에 위치."
8390255,631,용산서원,2,龍山書院,경주,1699-1868,조선후기,교육>전근대교육기관,1699년(숙종 25) 건립하여 최진립(崔震立)을 배향한 사액서원. 경상북도 경주시 내남면 이조리에 위치.
8390258,631,용산서원,2,龍山書院,동해,1705,조선후기,교육>전근대교육기관,1705년(숙종 31)에 건립하여 이세필(李世弼)을 배향한 서원. 강원도 동해시 쇄운동에 위치.
8390261,631,용산서원,2,龍山書院,보성,1607,조선후기,교육>전근대교육기관,1607년(선조 40) 건립하여 박광전(朴光前)을 배향한 사액서원. 전라남도 보성군 미력면 덕림리에 위치.
8390264,631,용계서원,2,龍溪書院,경산,1700,조선후기,교육>전근대교육기관,1700년(숙종 26) 건립하여 최문병(崔文炳)을 배향한 서원. 경상북도 경산시 자인면 원당리에 위치.
8390267,631,용계서원,2,龍溪書院,수안,1662,조선후기,교육>전근대교육기관,"1662년(현종 3) 건립하여 이연송(李連松), 강백년(姜栢年)을 배향한 사액사원. 황해도 수안군 수안면 요동산에 위치."
8390270,631,용계서원,2,龍溪書院,영천,1684,조선후기,교육>전근대교육기관,"1684년(숙종 10) 건립하여 이맹전(李孟專)을 배향한 사액서원. 경상북도 영천시 자양면 용산리에 위치.1759년(영조 35) 생육신 조려(趙旅), 원호(元昊), 김시습(金時習), 성담수(成聃壽), 남효온(南孝溫)을 추가 배향."
8390278,631,용계서원,2,龍溪書院,정읍,1701-1868,조선후기,교육>전근대교육기관,1701년(숙종 27) 건립하여 최서림(崔瑞琳)을 배향한 서원. 전라북도 정읍시 칠보면 시산리에 위치.
